neighbourhood,price_mean,price_median,price_min,price_max,price_count,number_of_reviews_sum
Fort Wadsworth,600.0,600.0,600.0,600.0,1,0
NoHo,464.67,401.5,159.0,998.0,18,884
Tribeca,464.32,448.0,68.0,996.0,87,2268
Theater District,430.56,402.0,72.0,988.0,200,7929
SoHo,417.72,382.0,100.0,981.0,105,3976
Battery Park City,411.3,399.0,80.0,915.0,27,1431
Financial District,396.69,374.0,110.0,936.0,345,11160
Greenwich Village,392.68,345.0,68.0,982.0,85,1384
West Village,384.52,362.5,80.0,953.0,232,5522
Midtown,379.59,348.0,56.0,995.0,1178,29914
Flatiron District,344.73,340.0,85.0,815.0,41,4024
Civic Center,328.67,311.0,303.0,372.0,3,33
Nolita,310.8,300.0,125.0,696.0,91,2249
Cobble Hill,302.68,245.0,57.0,980.0,22,1088
Chelsea,300.86,248.0,49.0,974.0,505,22372
Murray Hill,298.42,230.0,75.0,972.0,311,4171
Vinegar Hill,296.77,298.0,85.0,713.0,13,383
Stuyvesant Town,296.13,200.0,90.0,845.0,15,249
Holliswood,289.5,289.5,94.0,485.0,2,7
Boerum Hill,283.4,240.0,95.0,792.0,60,3265
Jamaica Hills,283.14,234.0,73.0,640.0,14,117
Greenpoint,282.95,260.5,32.0,879.0,274,8503
New Springville,276.0,276.0,276.0,276.0,1,29
Downtown Brooklyn,275.62,241.0,92.0,685.0,40,1545
Neponsit,272.0,272.0,249.0,295.0,2,29
DUMBO,271.93,295.0,95.0,450.0,15,1942
Columbia St,271.67,220.5,73.0,600.0,6,614
Pelham Bay,269.86,166.0,86.0,850.0,7,206
Brooklyn Heights,268.39,229.0,70.0,567.0,31,1121
Carroll Gardens,264.0,222.0,80.0,819.0,67,4357
Prospect Heights,263.5,206.5,25.0,884.0,62,5897
Gramercy,262.61,200.0,62.0,905.0,137,4813
Lower East Side,257.88,205.5,46.0,945.0,306,14570
Chinatown,257.71,220.0,42.0,990.0,142,8108
Gowanus,257.08,199.5,48.0,803.0,86,6052
East Village,256.47,194.0,18.0,966.0,377,15928
Kips Bay,255.35,216.0,64.0,900.0,243,2920
Hell's Kitchen,253.36,208.0,41.0,999.0,923,25214
Upper West Side,247.79,200.0,29.0,986.0,778,15834
Roosevelt Island,244.73,154.5,77.0,929.0,26,1123
Upper East Side,244.42,200.0,10.0,990.0,882,11824
Little Italy,241.03,187.5,108.0,782.0,62,1846
Clinton Hill,238.23,207.0,49.0,836.0,167,9687
Park Slope,226.59,200.0,44.0,850.0,153,12187
Grymes Hill,224.0,272.0,105.0,295.0,3,188
Arverne,213.12,148.0,40.0,955.0,65,2813
Fieldston,205.75,95.0,63.0,950.0,8,195
Fort Greene,205.02,177.5,49.0,803.0,128,6879
Two Bridges,203.5,154.0,39.0,616.0,14,265
Williamsburg,201.08,161.5,36.0,950.0,804,29210
Windsor Terrace,199.63,173.0,22.0,872.0,49,2478
Belle Harbor,198.0,210.0,99.0,300.0,8,285
